# VELOCITY:     POFV:
0                0
0.133333                0
0.266667        0.0694444
0.4         0.138889
0.533333                0
0.666667         0.277778
0.8         0.486111
0.933333         0.486111
1.06667         0.486111
1.2         0.347222
1.33333         0.833333
1.46667         0.347222
1.6         0.694444
1.73333         0.486111
1.86667         0.277778
2         0.347222
2.13333         0.277778
2.26667         0.347222
2.4                0
2.53333         0.277778
2.66667         0.208333
2.8         0.277778
2.93333        0.0694444
3.06667        0.0694444
3.2         0.208333
3.33333         0.208333
3.46667                0
3.6        0.0694444
3.73333        0.0694444
3.86667                0
4                0
4.13333        0.0694444
4.26667        0.0694444
4.4                0
4.53333                0
4.66667                0
4.8                0
4.93333                0
5.06667                0
5.2                0
5.33333                0
5.46667                0
5.6                0
5.73333                0
5.86667                0
6                0
6.13333                0
6.26667                0
6.4                0
6.53333                0
6.66667                0
6.8                0
6.93333                0
7.06667                0
7.2                0
7.33333                0
7.46667                0
7.6                0
7.73333                0
7.86667                0
